name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Ansaar General Hospital,Hospital,"GF/30, Tandalja Rd, Tandalja, Vadodara, Gujarat 390012 ",22.2883848,73.1560274,4.3,65,085110 88838 ,https://sites.google.com/view/ansaargeneralhospital,ChIJiz0fTyLGXzkRDgKgz-AFjP8,hospital,22.279455,73.14772
The Nirvaan Cafe & Lounge,Cafe,"Sun Pharma Rd, Pramukh Swami nagar, Atladara, Vadodara, Gujarat 390012 ",22.2796844,73.1530388,4.1,"1,067",,,ChIJZ_W031LHXzkRK_PVFZyAHlE,cafe,22.279455,73.14772
Jupiter Multispeciality Hospital in Vadodara | Best Hospital In Vadodara | Super Speciality Hospital,Hospital,"Sun-Pharma Atladra Rd, opposite ICAI Bhavan, Pramukh Swami nagar, Atladara, Vadodara, Gujarat 390012 ",22.2785564,73.1522073,4.8,"2,395",063588 38381 ,https://jtphospitals.com/,ChIJI9GocD7GXzkRWPHm2dMBRvw,hospital,22.279455,73.14772
Café Coffee Day,Cafe,"No 103 & 104, Upper Grnd Flr, Aries Pavillion, Vasna Rd, Niti Park Society, Shobhana Nagar, Shivashraya Society, Tandalja, Vadodara, Gujarat 390007 ",22.2948607,73.1588426,4.2,"1,040",1800 102 5093 ,https://tandalja.cafecoffeeday.com/,ChIJIYirRCfGXzkRa1n-AdwJQas,cafe,22.279455,73.14772
cafe,Cafe,"Gf 18,19,20, S square mall, opposite Vishwamohini apartment, near Ganga jamuna hospital, Ganga Jamana Society, Subhanpura, Vadodara, Gujarat 390023 ",22.3202614,73.159589,4.8,47,084870 06466 ,http://www.cafecup90s.com/,ChIJ890e_b3JXzkRiYxc6FMStmo,cafe,22.279455,73.14772
SANJIVANI CLINIC,Medical clinic,"F-8, Old Padra Rd, opp. Mathuranagri Society, Tandalja, Vadodara, Gujarat 390012 ",22.2834805,73.1584935,4.9,84,083200 88139 ,,ChIJV82yfr_HXzkRU-7u-mN_T30,clinic,22.279455,73.14772
New Life Hospital,Hospital,"Lotus Court, Sampatrao Colony, Jetalpur, Vadodara, Gujarat 390007 ",22.307559,73.1629821,,,,,ChIJ6Ul1OKPIXzkRu1De_Mwl5H4,hospital,22.279455,73.14772
Zydus Multispeciality and Cancer Hospital,Hospital,"Akshar Chowk, Old Padra Rd, Hira Nagar, Tandalja, Vadodara, Gujarat 390020 ",22.2813912,73.1637752,4.9,"9,551",0265 672 0000 ,https://hi.zydushospitals.com/Vadodara,ChIJSao3EaHHXzkR2GLrjNCd4l4,hospital,22.279455,73.14772
Sugarfree Sweets - Shree Narayan Sugarfree Sweets,Sweet shop,"A12, Arpita Park Society Opp Usha Nagar, ESI hospital road, Gotri Rd, I, Hari Nagar, Vadodara, Gujarat 390021 ",22.3125987,73.1539761,4.8,23,097272 70073 ,,ChIJqZn3ZozJXzkRsGGvqDqeoWY,snacks,22.279455,73.14772
Baroda City Hospital and Dental Clinic,Hospital,"Mahfuz Complex, WATER TANK, Tandalja Rd, opp. TANDALJA, Ayeshapark, Tandalja, Vadodara, Gujarat 390012 ",22.2883162,73.155382,4.7,55,,http://barodacityhospital.com/,ChIJw6lOkOHHXzkRV8-r1Ur3ktU,hospital,22.279455,73.14772
Bhakti Complex,Apartment building,"Shree Bhakti Complex, Sun-Pharma Atladra Rd, Atladara, Vadodara, Gujarat 390012 ",22.279163,73.151763,4.4,12,,,ChIJMYw_ZQDHXzkRl7WYTD-8Mwc,shop,22.279455,73.14772
M S SUPER STORE,General store,"Labh Complex, Atladara, Vadodara, Gujarat 390012 ",22.2751178,73.1504697,4.5,22,083470 94321 ,,ChIJCXXd_DjGXzkRgtcqnDJfqFc,supermarket,22.279455,73.14772
Delightery Bakery And Cafe,Bakery and Cake Shop,"Lisa Park, 53, High Tension Rd, near jyot nagar, Subhanpura, Vadodara, Gujarat 390021 ",22.320943,73.1504917,4.2,272,072858 59621 ,,ChIJx0aP-uzIXzkRWQdKo71MMrc,bakery,22.279455,73.14772
New York bakers & Desserts,Bakery and Cake Shop,"NEW YORK BAKERS & DESSERTS, tanishque business hub, Sun Pharma Rd, opp. Laxmi Narayan farm, Vadodara, Gujarat 390012 ",22.2806284,73.1527394,4.4,788,099248 40602 ,,ChIJb3tDJrjHXzkRHDF38mthPi4,bakery,22.279455,73.14772
Canadian Bakery,Bakery and Cake Shop,"10, C/10, Akota Rd, Vasna - Bhayli Main Rd, Manisha Park, Vai Kunth Society, Diwalipura, Vadodara, Gujarat 390007 ",22.30319,73.153513,4.9,277,063510 40039 ,,ChIJiV8lPgbJXzkRhFJMYLpyKdw,bakery,22.279455,73.14772
The Baking Boy,Bakery and Cake Shop,"Patrakar char rasta, Shop No - 4 SAHIL COMPLEX, Tandalja Rd, opposite Madina resturant, Vadodara, Gujarat 390007 ",22.2894823,73.1527566,4.3,924,097251 08865 ,,ChIJG6U2yibGXzkRH4OPdYJIPRU,bakery,22.279455,73.14772
